data;"Nivel_emprego"
1981.01;"159.1473"
1981.02;"158.0703"
1981.03;"156.1412"
1981.04;"152.7011"
1981.05;"150.9488"
1981.06;"149.9039"
1981.07;"147.4765"
1981.08;"144.5186"
1981.09;"142.2359"
1981.10;"141.3035"
1981.11;"140.3069"
1981.12;"139.6478"
1982.01;"139.5352"
1982.02;"139.3906"
1982.03;"139.9050"
1982.04;"140.3872"
1982.05;"140.9499"
1982.06;"141.0463"
1982.07;"141.0142"
1982.08;"140.4676"
1982.09;"139.4709"
1982.10;"138.3617"
1982.11;"137.3650"
1982.12;"135.3556"
1983.01;"133.2980"
1983.02;"131.5457"
1983.03;"130.1954"
1983.04;"129.6970"
1983.05;"129.3916"
1983.06;"128.2181"
1983.07;"127.8966"
1983.08;"126.8678"
1983.09;"126.3051"
1983.10;"126.0961"
1983.11;"125.4210"
1983.12;"124.7619"
1984.01;"124.1510"
1984.02;"124.4725"
1984.03;"124.7619"
1984.04;"125.5817"
1984.05;"126.7713"
1984.06;"127.3500"
1984.07;"128.0573"
1984.08;"129.2630"
1984.09;"130.3561"
1984.10;"131.5296"
1984.11;"132.4138"
1984.12;"132.9764"
1985.01;"133.6516"
1985.02;"134.6965"
1985.03;"135.1466"
1985.04;"135.7736"
1985.05;"135.9343"
1985.06;"136.2558"
1985.07;"136.8506"
1985.08;"137.6383"
1985.09;"138.6350"
1985.10;"139.8889"
1985.11;"140.8534"
1985.12;"141.2392"
1986.01;"143.1040"
1986.02;"144.7598"
1986.03;"145.4510"
1986.04;"145.8047"
1986.05;"146.8335"
1986.06;"148.4250"
1986.07;"150.5309"
1986.08;"152.2510"
1986.09;"153.9228"
1986.10;"155.5304"
1986.11;"156.5592"
1986.12;"157.2504"
1987.01;"156.9450"
1987.02;"157.9095"
1987.03;"158.6811"
1987.04;"158.6329"
1987.05;"158.0542"
1987.06;"156.8807"
1987.07;"157.0736"
1987.08;"153.2476"
1987.09;"153.3602"
1987.10;"154.0996"
1987.11;"154.2443"
1987.12;"153.5691"
1988.01;"152.8136"
1988.02;"152.9743"
1988.03;"152.5885"
1988.04;"152.3635"
1988.05;"152.0902"
1988.06;"151.4954"
1988.07;"151.4150"
1988.08;"151.5597"
1988.09;"151.1257"
1988.10;"151.2060"
1988.11;"151.4472"
1988.12;"150.6273"
1989.01;"150.0165"
1989.02;"149.3413"
1989.03;"148.6018"
1989.04;"148.3928"
1989.05;"148.7465"
1989.06;"149.7432"
1989.07;"151.2221"
1989.08;"153.4888"
1989.09;"154.9034"
1989.10;"155.7715"
1989.11;"156.1734"
1989.12;"155.8036"
1990.01;"154.7587"
1990.02;"153.3762"
1990.03;"151.3025"
1990.04;"147.9427"
1990.05;"144.4222"
1990.06;"143.1683"
1990.07;"143.3451"
1990.08;"143.8274"
1990.09;"144.6955"
1990.10;"144.4704"
1990.11;"142.6700"
1990.12;"139.1012"
1991.01;"134.0053"
1991.02;"131.5618"
1991.03;"130.1472"
1991.04;"129.1505"
1991.05;"129.4077"
1991.06;"130.2275"
1991.07;"131.4493"
1991.08;"131.5457"
1991.09;"131.9155"
1991.10;"131.0313"
1991.11;"129.5363"
1991.12;"127.3339"
1992.01;"125.3245"
1992.02;"123.5401"
1992.03;"122.5917"
1992.04;"121.4825"
1992.05;"120.6787"
1992.06;"119.7463"
1992.07;"118.9104"
1992.08;"118.0262"
1992.09;"116.9758"
1992.10;"116.6717"
1992.11;"116.1466"
1992.12;"115.4381"
1993.01;"115.5988"
1993.02;"115.9364"
1993.03;"116.1936"
1993.04;"116.4669"
1993.05;"116.7018"
1993.06;"116.9119"
1993.07;"116.9353"
1993.08;"117.0171"
1993.09;"117.0405"
1993.10;"116.3149"
1993.11;"115.9830"
1993.12;"115.3738"
1994.01;"114.7838"
1994.02;"114.2214"
1994.03;"113.7531"
1994.04;"113.4573"
1994.05;"112.9467"
1994.06;"112.7886"
1994.07;"112.6871"
1994.08;"112.4954"
1994.09;"113.0706"
1994.10;"113.8488"
1994.11;"114.2436"
1994.12;"114.4579"
1995.01;"114.8978"
1995.02;"115.4392"
1995.03;"116.2625"
1995.04;"116.0482"
1995.05;"115.8114"
1995.06;"114.9767"
1995.07;"113.5217"
1995.08;"111.1306"
1995.09;"109.7095"
1995.10;"108.8072"
1995.11;"107.9049"
1995.12;"106.9913"
1996.01;"105.8296"
1996.02;"104.7919"
1996.03;"103.9234"
1996.04;"103.2354"
1996.05;"102.5813"
1996.06;"102.4346"
1996.07;"102.1188"
1996.08;"100.6413"
1996.09;"100.5059"
1996.10;"100.0097"
1996.11;"99.5924"
1996.12;"99.1863"
1997.01;"98.7464"
1997.02;"98.3855"
1997.03;"97.8329"
1997.04;"97.2689"
1997.05;"97.3027"
1997.06;"97.0772"
1997.07;"96.5583"
1997.08;"96.0846"
1997.09;"95.6673"
1997.10;"95.1372"
1997.11;"94.2800"
1997.12;"93.2875"
1998.01;"91.8325"
1998.02;"90.4339"
1998.03;"90.4339"
1998.04;"89.9151"
1998.05;"89.5654"
1998.06;"89.4414"
1998.07;"89.1820"
1998.08;"88.8210"
1998.09;"88.3924"
1998.10;"87.9075"
1998.11;"87.2871"
1998.12;"86.3171"
1999.01;"85.4261"
1999.02;"84.8170"
1999.03;"83.8583"
1999.04;"83.5313"
1999.05;"83.3959"
1999.06;"83.4185"
1999.07;"83.3846"
1999.08;"83.3959"
1999.09;"83.3395"
1999.10;"83.4185"
1999.11;"83.4297"
1999.12;"83.2154"
2000.01;"83.5899"
2000.02;"83.9644"
2000.03;"84.3555"
2000.04;"84.7383"
2000.05;"85.2459"
2000.06;"86.0281"
2000.07;"86.2029"
2000.08;"86.5940"
2000.09;"87.0683"
2000.10;"87.6092"
2000.11;"87.2680"
2000.12;"86.0864"
2001.01;"86.6855"
2001.02;"87.1349"
2001.03;"87.4927"
2001.04;"87.8422"
2001.05;"88.3166"
2001.06;"88.8242"
2001.07;"88.9823"
2001.08;"88.9323"
2001.09;"89.0239"
2001.10;"89.2735"
2001.11;"88.8158"
2001.12;"87.4844"
2002.01;"87.7008"
2002.02;"88.0752"
2002.03;"88.2666"
2002.04;"88.8075"
2002.05;"89.3235"
2002.06;"89.7978"
2002.07;"89.9226"
2002.08;"89.9060"
2002.09;"90.1057"
2002.10;"90.5384"
2002.11;"90.0724"
2002.12;"88.5079"
2003.01;"88.9989"
2003.02;"89.5565"
2003.03;"89.9476"
2003.04;"90.1889"
2003.05;"90.8130"
2003.06;"91.3040"
2003.07;"91.6202"
2003.08;"91.7700"
2003.09;"92.2194"
2003.10;"92.8102"
2003.11;"92.3608"
2003.12;"90.3803"
2004.01;"91.1542"
2004.02;"91.9531"
2004.03;"92.5689"
2004.04;"93.3344"
2004.05;"94.2914"
2004.06;"95.6062"
2004.07;"96.4217"
2004.08;"97.0875"
2004.09;"97.8614"
2004.10;"98.7185"
2004.11;"98.7102"
2004.12;"97.3121"
2005.01;"97.6117"
2005.02;"98.3357"
2005.03;"98.7851"
2005.04;"99.3842"
2005.05;"99.7254"
2005.06;"100.0000"
2005.07;"100.4209"
2005.08;"100.6527"
2005.09;"100.9288"
2005.10;"101.0709"
2005.11;"99.8489"
2005.12;"98.3571"
2006.01;"98.2597"
2006.02;"98.4680"
2006.03;"99.0408"
2006.04;"100.8273"
2006.05;"101.3652"
2006.06;"101.3812"
2006.07;"101.3589"
2006.08;"101.2601"
2006.09;"101.5600"
2006.10;"101.7804"
2006.11;"100.1600"
2006.12;"98.1694"
2007.01;"98.8928"
2007.02;"99.7965"
2007.03;"100.6095"
2007.04;"102.9318"
2007.05;"104.0645"
2007.06;"104.3529"
2007.07;"104.6730"
2007.08;"104.9661"
2007.09;"105.7202"
2007.10;"106.0842"
2007.11;"106.0382"
2007.12;"102.5726"
2008.01;"103.2515"
2008.02;"103.9704"
2008.03;"105.3220"
2008.04;"107.9552"
2008.05;"108.3444"
2008.06;"108.5978"
2008.07;"108.8170"
2008.08;"108.9994"
2008.09;"109.3721"
2008.10;"109.1143"
2008.11;"107.7176"
2008.12;"102.2390"
2009.01;"100.8260"
2009.02;"99.1421"
2009.03;"99.8307"
2009.04;"100.8891"
2009.05;"100.7679"
2009.06;"100.3408"
2009.07;"100.1359"
2009.08;"100.1464"
2009.09;"100.7089"
2009.10;"101.1249"
2009.11;"101.2301"
2009.12;"97.5335"
2010.01;"97.9787"
2010.02;"99.0678"
2010.03;"101.3940"
2010.04;"102.8449"
2010.05;"103.4917"
2010.06;"104.1327"
2010.07;"104.6420"
2010.08;"104.9740"
2010.09;"105.5301"
2010.10;"105.5481"
2010.11;"104.6794"
2010.12;"102.1821"
2011.01;"102.7777"
2011.02;"103.5947"
2011.03;"104.3304"
2011.04;"106.2317"
2011.05;"106.8422"
2011.06;"106.8030"
2011.07;"106.9438"
2011.08;"106.4333"
2011.09;"106.1892"
2011.10;"105.4694"
2011.11;"103.5795"
2011.12;"102.1262"
2012.01;"102.2121"
2012.02;"102.3151"
2012.03;"102.3010"
2012.04;"102.9183"
2012.05;"103.8004"
2012.06;"103.5275"
2012.07;"103.5723"
2012.08;"103.2085"
2012.09;"103.1835"
2012.10;"103.0489"
2012.11;"102.7297"
2012.12;"100.0708"
2013.01;"100.4663"
2013.02;"100.8448"
2013.03;"101.3860"
2013.04;"102.4312"
2013.05;"102.5860"
2013.06;"102.3958"
2013.07;"102.1888"
2013.08;"101.6252"
2013.09;"101.6540"
2013.10;"101.4725"
2013.11;"100.9866"
2013.12;"98.6767"
2014.01;"98.9229"
2014.02;"99.2082"
2014.03;"99.4439"
2014.04;"99.7765"
2014.05;"99.2951"
2014.06;"98.6479"
2014.07;"98.0432"
2014.08;"97.4585"
2014.09;"97.2188"
2014.10;"96.7333"
2014.11;"95.3388"
2014.12;"93.7849"
2015.01;"93.8974"
2015.02;"93.5973"
2015.03;"92.9564"
2015.04;"93.1712"
2015.05;"92.5521"
2015.06;"91.4416"
2015.07;"90.3603"
2015.08;"89.3720"
2015.09;"88.6266"
2015.10;"87.7587"
2015.11;"87.0464"
2015.12;"85.0703"
2016.01;"84.5186"
2016.02;"84.0346"
2016.03;"83.9408"
2016.04;"83.8208"
2016.05;"83.5483"
2016.06;"82.9660"
2016.07;"82.7310"
2016.08;"82.3326"
2016.09;"81.9523"
2016.10;"81.7228"
2016.11;"80.7835"
2016.12;"79.4338"
2017.01;"79.6586"
2017.02;"79.5494"
2017.03;"79.8930"
2017.04;"80.2539"
2017.05;"80.1578"
2017.06;"79.7959"
2017.07;"79.7249"
2017.08;"79.6310"
2017.09;"79.6881"
2017.10;"79.7479"
2017.11;"79.3581"
2017.12;"78.1466"
